Phone Number,name,Phone to Name.name,Phone to Name.source,Phone to Name.vpa,Phone Name Attributes.businessNameDetected,Phone Name Attributes.digitalage,Phone Name Attributes.firstNameMatch,Phone Name Attributes.lastNameMatch,Phone Name Attributes.nameMatchScore,Phone Name Attributes.ndrScore,Phone Name Attributes.phoneFootprintStrengthOverall,Phone Name Attributes.phoneNameDigitalAge,Phone Name Attributes.unrScore,Phone Network.currentNetworkName,Phone Network.currentNetworkRegion,Phone Network.imsi,Phone Network.isPhoneReachable,Phone Network.numberBillingType,Phone Network.numberHasPortingHistory,Phone Network.portedFromNetworkName,Phone Network.portedFromNetworkRegion,Phone Social Premium.a23games,Phone Social Premium.amazon,Phone Social Premium.byjus,Phone Social Premium.flipkart,Phone Social Premium.housing,Phone Social Premium.indiamart,Phone Social Premium.instagram,Phone Social Premium.jeevansaathi,Phone Social Premium.jiomart,Phone Social Premium.my11,Phone Social Premium.paytm,Phone Social Premium.rummycircle,Phone Social Premium.shaadi,Phone Social Premium.swiggy,Phone Social Premium.whatsapp,Phone Social Premium.yatra,Risk Model.alternateRiskScore,Risk Model.digitalFootprint,Risk Model.identityConfidence,Risk Model.negativeInsights,Risk Model.phoneSocialMediaCount,Risk Model.positiveInsights,Risk Model.socialFootprintScore,Risk Model.telecomRisk,Zone,City,State
289374429344,John Doe,Sue Smith,PAYTM,781301181958@randomvpa,False,2706,True,True,100,1.0,Medium,-1,0.0,Vodafone,Delhi,4041100000.0,True,postpaid,True,Reliance Jio,Delhi,Error,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,421,High,High,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",4,"[""Person's name matched against multiple sources."",""Person's has significant internet presence.""]",579,Medium,East,New Delhi,New Delhi
073506981724,Sue Smith,Priya Brown,OKHDFCBANK,168226205580@randomvpa,False,15,False,False,-1,1.0,Low,-1,1.0,Reliance Jio,UP-West,4058700000.0,True,prepaid,True,Vodafone,UP-West,Error,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,543,Medium,Low,"[""Address seems to be incomplete."",""Person's name differed across mutiple sources."",""Person has negligible social media presence."",""Person's phone has a digital age of less than 6 months."",""Email does not exist."",""Email's domain does not exist.""]",5,[],508,Medium,Vrindavan,Vrindavan,Uttar Pradesh
846886388199,Lisa Smith,Lisa White,PAYTM,519152696048@randomvpa,False,1899,True,True,100,1.0,Medium,-1,0.0,Vodafone,Delhi,4041137259.0,True,prepaid,False,,,Error,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,444,High,High,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",3,"[""Person's name matched against multiple sources."",""Person's has significant internet presence.""]",543,Medium,East,New Delhi,New Delhi
431039239915,Raj Smith,,,,False,2223,False,False,-1,-1.0,Medium,-1,-1.0,Vodafone,Delhi,4041100000.0,True,prepaid,False,,,Error,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Error,Account Not Found,Error,Account Not Found,Account Not Found,Account Found,Error,490,High,Medium,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",2,"[""Person's has significant internet presence.""]",496,Medium,East,New Delhi,New Delhi
652835844418,Sam Brown,Sam Singh,YBL,438404390854@randomvpa,False,1909,True,False,100,1.0,Medium,1909,0.0,Airtel,Delhi,4041000000.0,True,prepaid,True,Vodafone,Delhi,Error,Account Not Found,Account Found,Account Not Found,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,510,High,High,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",3,"[""Person's name matched against multiple sources."",""Person's has significant internet presence.""]",512,Medium,East,New Delhi,New Delhi
392303504230,Tom Sharma,,,,False,2758,False,False,-1,-1.0,High,-1,-1.0,Reliance Jio,Delhi,4058720000.0,True,prepaid,False,,,Error,Account Found,Account Not Found,Account Found,Account Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,217,High,Medium,"[""Address seems to be incomplete."",""Email does not exist."",""Email's domain does not exist.""]",6,"[""Person's has significant internet presence.""]",585,Medium,South,New Delhi,New Delhi
003216123210,Tom White,,,,False,366,False,False,-1,-1.0,Medium,-1,-1.0,Reliance Jio,Rajasthan,4058680000.0,True,prepaid,False,,,Error,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Not Found,Error,707,Medium,Medium,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",1,[],304,Medium,Jaipur,Jaipur,Rajasthan
976548507338,Raj Singh,Sam Doe,AXL,552357024363@randomvpa,False,1631,True,True,100,1.0,Medium,-1,0.0,Airtel,UP-East,4055486045.0,True,prepaid,False,,,Error,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,510,High,High,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",2,"[""Person's name matched against multiple sources."",""Person's has significant internet presence.""]",554,Medium,Lucknow,Lucknow,Uttar Pradesh
906929753617,Tom Sharma,,,,False,2277,False,False,-1,-1.0,Medium,-1,-1.0,Reliance Jio,UP-East,4058710000.0,True,prepaid,False,,,Error,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Account Not Found,Error,Account Not Found,Error,Account Not Found,Account Not Found,Account Found,Error,490,High,Medium,"[""Address seems to be incomplete."",""Person has negligible social media presence."",""Email does not exist."",""Email's domain does not exist.""]",2,"[""Person's has significant internet presence.""]",496,Medium,Lucknow,Lucknow,Uttar Pradesh
595944782391,Sue Sharma,Sue White,PAYTM,677811458159@randomvpa,False,258,False,True,86,1.0,Low,-1,0.0,Reliance Jio,Delhi,4058720000.0,True,prepaid,False,,,Error,Account Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Account Found,Account Not Found,Account Not Found,Error,Account Found,Error,Account Not Found,Account Not Found,Account Found,Error,234,Medium,High,"[""Address seems to be incomplete."",""Email does not exist."",""Email's domain does not exist.""]",6,"[""Person's name matched against multiple sources.""]",574,Medium,East,New Delhi,New Delhi
